additions,additions_avg,additions_max,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,minor_contributors_count
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,fetcher\\tornado_fetcher.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,test\\__init__.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,libs\\sample_handler.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,result\\__init__.py,0.0,0.0,0.0
359.0,12.0,80.0,3.0,22.0,4.0,124.0,30.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,31.0,2014-11-11 21:07:43+08:00,2.0,235.0,8.0,60.0,0.0,run.py,96.3,2.0,1.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,database\\sqlite\\projectdb.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,database\\mongodb\\taskdb.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,scheduler\\scheduler.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,test\\test_rabbitmq.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,webui\\result.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,libs\\ListIO.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,libs\\url.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,test\\test_processor.py,0.0,0.0,0.0
23.0,8.0,11.0,3.0,22.0,4.0,9.0,6.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,3.0,2014-11-11 21:07:43+08:00,1.0,3.0,1.0,2.0,0.0,runtest.py,100.0,1.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,processor\\__init__.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,scheduler\\__init__.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,database\\base\\projectdb.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,libs\\response.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,webui\\index.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,libs\\log.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,database\\mysql\\__init__.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,scheduler\\task_queue.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,database\\base\\taskdb.py,0.0,0.0,0.0
0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,4b3314326e68c0be334fdcdf1a92bb7c3c830ab4,0.0,2014-11-11 21:07:43+08:00,0.0,0.0,0.0,0.0,0.0,test\\test_fetcher.py,0.0,0.0,0.0
